"treated_club_id","treated_season","treated_match_no","treated_ppg_prior","treated_ppg_next","treated_position","control_club_id","control_season","control_match_no","control_ppg_prior","control_ppg_next","control_position","match_dist"
533,2012,18,0.50000000000000000000,1.00000000000000000000,16,79,2013,28,0.50000000000000000000,1.3333333333333333,16,0.00000000000000000000
65,2012,23,0.50000000000000000000,0.80000000000000000000,18,23,2013,9,0.50000000000000000000,0.80000000000000000000,18,0.00000000000000000000
533,2012,28,0.80000000000000000000,1.3333333333333333,17,167,2012,21,0.80000000000000000000,1.5000000000000000,17,0.00000000000000000000
79,2013,4,0.00000000000000000000,1.3000000000000000,14,44,2022,2,0.00000000000000000000,1.00000000000000000000,14,0.00000000000000000000
41,2013,6,0.80000000000000000000,1.2000000000000000,16,60,2013,12,0.80000000000000000000,1.00000000000000000000,16,0.00000000000000000000
41,2013,22,0.40000000000000000000,0.80000000000000000000,16,38,2018,15,0.40000000000000000000,1.9000000000000000,16,0.00000000000000000000
15,2013,30,0.80000000000000000000,2.5000000000000000,4,18,2013,26,0.80000000000000000000,1.6250000000000000,5,0.05555555555555555556
41,2014,4,0.33333333333333333333,1.3000000000000000,17,127,2019,4,0.33333333333333333333,0.70000000000000000000,17,0.00000000000000000000
39,2014,22,0.70000000000000000000,1.2000000000000000,11,86,2013,17,0.70000000000000000000,1.00000000000000000000,11,0.00000000000000000000
42,2014,30,0.40000000000000000000,2.0000000000000000,15,89,2023,15,0.40000000000000000000,1.2000000000000000,15,0.00000000000000000000
18,2015,6,0.00000000000000000000,2.3000000000000000,16,79,2012,3,0.00000000000000000000,1.5000000000000000,16,0.00000000000000000000
86,2016,4,0.00000000000000000000,1.4000000000000000,18,23,2013,3,0.00000000000000000000,0.80000000000000000000,18,0.00000000000000000000
167,2016,15,1.00000000000000000000,1.2000000000000000,12,3,2014,14,1.00000000000000000000,1.3000000000000000,12,0.00000000000000000000
105,2016,17,0.30000000000000000000,0.60000000000000000000,18,42,2018,27,0.30000000000000000000,1.00000000000000000000,18,0.00000000000000000000
82,2017,5,1.00000000000000000000,1.3000000000000000,13,39,2012,2,1.00000000000000000000,1.6000000000000000,13,0.00000000000000000000
41,2017,27,0.30000000000000000000,1.8571428571428571,18,42,2018,27,0.30000000000000000000,1.00000000000000000000,18,0.00000000000000000000
3,2017,15,0.30000000000000000000,1.4000000000000000,18,42,2018,27,0.30000000000000000000,1.00000000000000000000,18,0.00000000000000000000
79,2018,8,0.71428571428571428571,0.90000000000000000000,17,60,2014,8,0.71428571428571428571,1.3000000000000000,17,0.00000000000000000000
42,2018,20,0.50000000000000000000,0.40000000000000000000,18,23,2013,9,0.50000000000000000000,0.80000000000000000000,18,0.00000000000000000000
4,2018,22,0.20000000000000000000,0.60000000000000000000,18,42,2015,6,0.20000000000000000000,1.3000000000000000,18,0.00000000000000000000
33,2018,26,0.80000000000000000000,1.2500000000000000,15,38,2012,29,0.80000000000000000000,0.00000000000000000000,15,0.00000000000000000000
79,2018,31,0.60000000000000000000,1.3333333333333333,16,167,2012,19,0.60000000000000000000,1.4000000000000000,16,0.00000000000000000000
44,2019,13,1.00000000000000000000,1.5000000000000000,16,65,2012,5,1.00000000000000000000,0.40000000000000000000,16,0.00000000000000000000
167,2019,26,0.70000000000000000000,1.1250000000000000,14,38,2012,13,0.70000000000000000000,1.3000000000000000,14,0.00000000000000000000
38,2019,20,0.80000000000000000000,1.2000000000000000,17,167,2012,21,0.80000000000000000000,1.5000000000000000,17,0.00000000000000000000
533,2019,31,1.00000000000000000000,3.0000000000000000,7,18,2013,4,1.00000000000000000000,2.2000000000000000,7,0.00000000000000000000
33,2020,24,0.50000000000000000000,0.60000000000000000000,18,23,2013,9,0.50000000000000000000,0.80000000000000000000,18,0.00000000000000000000
33,2020,13,0.40000000000000000000,0.50000000000000000000,18,23,2013,11,0.40000000000000000000,0.80000000000000000000,18,0.00000000000000000000
39,2020,15,0.60000000000000000000,1.5000000000000000,18,167,2012,13,0.60000000000000000000,1.1000000000000000,18,0.00000000000000000000
167,2021,23,1.00000000000000000000,1.3000000000000000,16,65,2012,5,1.00000000000000000000,0.40000000000000000000,16,0.00000000000000000000
167,2021,24,0.90000000000000000000,1.5000000000000000,15,79,2013,31,0.90000000000000000000,0.33333333333333333333,15,0.00000000000000000000
44,2021,27,0.50000000000000000000,1.00000000000000000000,16,79,2013,28,0.50000000000000000000,1.3333333333333333,16,0.00000000000000000000
23826,2022,6,1.00000000000000000000,2.1000000000000000,10,18,2012,7,1.00000000000000000000,1.6000000000000000,10,0.00000000000000000000
80,2022,7,0.00000000000000000000,1.5000000000000000,18,23,2013,3,0.00000000000000000000,0.80000000000000000000,18,0.00000000000000000000
15,2022,9,0.62500000000000000000,1.6000000000000000,15,35,2024,9,0.62500000000000000000,1.2000000000000000,15,0.00000000000000000000
79,2022,10,0.55555555555555555556,0.80000000000000000000,14,80,2023,10,0.55555555555555555556,1.3000000000000000,14,0.00000000000000000000
33,2022,12,0.60000000000000000000,1.00000000000000000000,18,167,2012,13,0.60000000000000000000,1.1000000000000000,18,0.00000000000000000000
79,2022,16,1.00000000000000000000,0.50000000000000000000,16,65,2012,5,1.00000000000000000000,0.40000000000000000000,16,0.00000000000000000000
533,2022,20,0.50000000000000000000,1.00000000000000000000,14,44,2014,5,0.50000000000000000000,1.2000000000000000,14,0.00000000000000000000
44,2022,29,0.80000000000000000000,1.4000000000000000,18,23,2013,13,0.80000000000000000000,0.80000000000000000000,18,0.00000000000000000000
39,2023,10,0.33333333333333333333,0.60000000000000000000,17,127,2019,4,0.33333333333333333333,0.70000000000000000000,17,0.00000000000000000000
89,2023,12,0.30000000000000000000,1.7000000000000000,17,4,2013,33,0.30000000000000000000,0.00000000000000000000,17,0.00000000000000000000
89,2023,13,0.10000000000000000000,1.5000000000000000,15,533,2022,25,0.10000000000000000000,1.5555555555555556,15,0.00000000000000000000
3,2023,17,0.90000000000000000000,0.80000000000000000000,17,10,2020,26,0.90000000000000000000,1.6250000000000000,17,0.00000000000000000000
39,2023,22,0.50000000000000000000,1.4000000000000000,17,79,2012,5,0.50000000000000000000,2.0000000000000000,17,0.00000000000000000000
80,2023,29,0.60000000000000000000,1.2000000000000000,15,38,2012,31,0.60000000000000000000,0.00000000000000000000,15,0.00000000000000000000
80,2024,8,0.14285714285714285714,1.1000000000000000,18,65,2021,8,0.14285714285714285714,0.50000000000000000000,18,0.00000000000000000000
80,2024,10,0.11111111111111111111,1.00000000000000000000,18,65,2021,10,0.11111111111111111111,0.90000000000000000000,18,0.00000000000000000000
533,2024,11,0.90000000000000000000,0.60000000000000000000,13,38,2012,15,0.90000000000000000000,1.00000000000000000000,13,0.00000000000000000000
15,2025,3,0.50000000000000000000,1.9000000000000000,10,23826,2018,3,0.50000000000000000000,2.1000000000000000,10,0.00000000000000000000
82,2025,11,0.80000000000000000000,1.1000000000000000,15,38,2012,29,0.80000000000000000000,0.00000000000000000000,15,0.00000000000000000000
39,2025,13,0.50000000000000000000,1.6000000000000000,18,23,2013,9,0.50000000000000000000,0.80000000000000000000,18,0.00000000000000000000
